Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),RZ Thrust,Forward Thrust,WP Lat,WP Lon
2025-04-15 18:02:09,50.018635,-4.005769166666667,4.9999841248,124.7,64.4555106428951,-3.3008801275973525,0.38166873018142844,-3.850199934039715,84.7,50.01833333333333,-4.005
2025-04-15 18:02:11,50.01861386666667,-4.005721933333334,4.9999841248,124.8,60.34663251509058,-3.6361865102302176,0.10949169609348365,-5.1444197290493765,84.7,50.01833333333333,-4.005
2025-04-15 18:02:13,50.018593,-4.0056736,4.9999841248,122.9,56.18668387666488,-1.9387006710437902,-0.09666236520214107,-3.200868970661497,84.7,50.01833333333333,-4.005
2025-04-15 18:02:15,50.01855965,-4.005587,4.9999841248,119.4,48.965090100626384,1.5650669214521429,-0.08103954447939289,2.110909707393639,84.7,50.01833333333333,-4.005
2025-04-15 18:02:17,50.01854175,-4.005536583333333,4.9999841248,118.8,44.84788156888179,2.3526436275427756,0.07258725082965016,3.7483534432666463,84.7,50.01833333333333,-4.005
2025-04-15 18:02:19,50.01852348333333,-4.00548565,4.9999841248,119.8,40.67844884916439,1.5561564671376829,0.21031589611967652,2.956963626965412,84.7,50.01833333333333,-4.005
2025-04-15 18:02:22,50.018489566666666,-4.005399333333333,4.9999841248,122.8,33.441524064544815,-1.4634432370435633,0.1614459256657381,-1.7246275972588778,84.7,50.01833333333333,-4.005
2025-04-15 18:02:23,50.01846921666667,-4.005351166666666,4.9999841248,123.7,29.321080003607452,-2.64314588513885,-0.0015898898734446585,-3.9761129815719194,84.7,50.01833333333333,-4.005
2025-04-15 18:02:25,50.01844861666667,-4.00530245,4.9999841248,122.8,25.153528350777968,-2.1230909777787446,-0.16816851675356728,-3.685298988547128,84.7,50.01833333333333,-4.005
2025-04-15 18:02:27,50.01841511666667,-4.005215783333333,4.9999841248,119.6,17.919426812725117,0.9343696702656246,-0.16438931532984022,0.9197833610019177,84.7,50.01833333333333,-4.005
2025-04-15 18:02:29,50.01839738333334,-4.0051653,4.9999841248,118.3,13.806953111721159,2.7915137500285283,0.007590889639041673,4.216747161530836,5.9,50.01833333333333,-4.005
2025-04-15 18:02:31,50.018381266666665,-4.005118866666667,3.8999876173440002,118.6,10.037923903884854,3.5119203293253634,0.184275526726868,5.816093521922761,5.9,50.01833333333333,-4.005
2025-04-15 18:02:33,50.01836191666667,-4.005064133333334,2.4999920624,119.1,5.582799899730085,5.646281319580936,0.35893200725529173,9.531937957730143,5.9,50.01833333333333,-4.005
